id,commit,days
1954,false,47
1955,false,0
1956,false,0
1957,false,0
1958,false,0
1959,false,1
1960,false,432
1961,false,0
1962,false,1
1963,false,1
1965,false,0
1966,false,0
1967,false,0
1968,false,2
1969,true,2
1970,false,0
1971,false,0
1972,false,12
1973,false,41
1974,false,1
1975,false,0
1976,true,0
1977,false,0
1978,true,1
1979,false,0
1980,false,35
1981,false,30
1982,false,0
1983,false,197
1984,false,0
1985,false,3
1986,true,4
1987,false,0
1988,false,1
1989,false,0
1990,false,27
1991,false,0
1992,false,0
1993,true,11
1994,false,0
1995,false,29
1996,false,2
1997,false,80
1998,false,0
1999,true,9
2000,false,0
2001,false,4
2002,false,0
2003,false,145
2004,true,61
2005,false,0
2006,false,0
2007,false,34
2008,false,143
2009,true,1
2010,true,5
2011,false,0
2012,true,4
2013,false,6
2014,false,0
2015,false,0
2016,false,0
2017,true,46
2018,false,0
2019,false,5
2020,false,247
2021,false,0
2022,false,1
2023,false,1
2024,false,0
2025,false,0
2026,false,137
2027,false,0
2028,false,0
2029,true,0
2030,false,0
2031,false,0
2032,false,0
2033,false,0
2034,true,2
2035,false,0
2036,false,0
2037,false,1
2038,false,1
2039,true,1
2040,true,1
2041,true,6
2042,true,0
2043,false,132
2044,true,6
2045,false,0
2046,false,0
2047,false,285
2048,false,0
2049,false,0
2050,false,420
2051,false,0
2052,false,0
2053,false,0
2055,false,0
2056,false,0
2058,true,0
2059,true,2
2060,false,0
2061,false,6
2062,false,0
2063,true,8
2064,false,0
2065,false,0
2066,false,23
2067,false,11
2068,false,2
2069,false,152
2071,false,0
2072,false,0
2073,false,229
2074,false,0
2075,false,0
2076,false,0
2077,false,0
2078,false,227
2079,false,0
2080,false,0
2081,false,0
2082,true,10
2083,true,1
2084,false,1
2085,false,0
2086,false,0
2087,false,0
2088,false,0
2089,false,0
2090,true,29
2091,false,0
2092,false,0
2093,false,0
2094,false,1
2095,false,113
2096,false,113
2099,false,219
2100,false,3
2101,false,0
2102,false,1
2103,false,5
2104,false,7
2105,false,218
2106,false,1
2107,false,26
2108,false,4
2109,false,1
2110,false,0
2111,false,217
2112,false,108
2113,false,214
2114,true,26
2115,false,214
2116,false,1
2117,false,13
2118,false,7
2119,false,106
2120,false,0
2121,false,24
2122,false,0
2123,false,0
2124,false,3
2125,false,0
2126,false,1
2127,false,104
2128,false,0
2129,true,1
2130,true,1
2131,false,0
2132,false,0
2133,false,0
2134,true,0
2135,false,0
2136,false,7
2137,false,0
2138,true,5
2139,true,100
2141,false,0
2142,false,0
2143,true,0
2144,false,15
2145,false,3
2146,false,0
2147,false,3
2148,false,410
2149,false,0
2150,false,1
